,x,y,z,projection,Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0976_1,192700.0,407190.0,,epsg:28992,B46D0976,001,46DL0006,192700,407190,1314,08-12-1952,14-10-1955,28-08-1962,1296,-18,,
B46D1186_1,193697.0,406618.0,8.43,epsg:28992,B46D1186,001,,193697,406618,1300,05-01-2011,05-01-2011,13-09-2018,1368,68,893,793
B46D0992_1,196290.0,403950.0,,epsg:28992,B46D0992,001,46DL0022,196290,403950,,,28-11-1979,14-01-2001,,-5,,
B46D0993_1,198750.0,401700.0,,epsg:28992,B46D0993,001,46DL0024,198750,401700,1276,28-04-1955,14-12-1970,27-08-1981,1270,-6,,
B46D0808_1,191225.0,406720.0,7.380000000000001,epsg:28992,B46D0808,001,46DP0065,191225,406720,1327,15-02-1978,15-02-1978,28-08-1987,1307,-20,838,638
B46D0809_1,191115.0,406555.0,7.710000000000001,epsg:28992,B46D0809,001,46DP0066,191115,406555,1341,15-02-1978,15-02-1978,14-11-1987,1342,1,871,671
B46D0057_1,193500.0,407380.0,1.6900000000000002,epsg:28992,B46D0057,001,46DB0057,193500,407380,1269,01-03-1946,14-10-1960,14-12-1971,1269,0,569,-231
B46C0502_1,188599.0,407012.0,11.78,epsg:28992,B46C0502,001,,188599,407012,1257,09-06-2016,09-06-2016,07-12-2020,1341,83,1228,1128
B46C0503_1,188550.0,406661.0,12.46,epsg:28992,B46C0503,001,,188550,406661,1355,09-06-2016,09-06-2016,07-12-2020,1449,93,1296,1196
B46C0498_1,188483.0,406897.0,10.4,epsg:28992,B46C0498,001,,188483,406897,1313,27-07-2015,27-07-2015,07-12-2020,1364,51,1090,990
B46C0499_1,188496.0,406427.0,11.76,epsg:28992,B46C0499,001,,188496,406427,1387,27-07-2015,27-07-2015,07-12-2020,1455,68,1226,1126
B46D0826_2,192792.0,406729.0,6.14,epsg:28992,B46D0826,002,46DP0092,192792,406729,1379,05-01-2011,05-01-2011,01-02-2011,1445,66,714,514
B46D0827_2,192693.0,405748.0,5.28,epsg:28992,B46D0827,002,46DP0093,192693,405748,1398,10-01-2011,10-01-2011,01-02-2011,1478,80,628,428
B46D1543_1,190318.0,407046.0,5.39,epsg:28992,B46D1543,001,,190318,407046,1289,15-01-2013,15-01-2013,13-09-2018,1363,74,639,439
B46D1542_1,197382.0,400791.0,,epsg:28992,B46D1542,001,,197382,400791,1449,04-07-2012,04-07-2012,05-09-2016,1444,-5,,
B46D0813_2,191110.0,406455.0,6.77,epsg:28992,B46D0813,002,46DP0070,191110,406455,1327,03-04-1989,03-04-1989,28-01-2003,1317,-10,727,627
B46D1017_1,195560.0,401450.0,12.23,epsg:28992,B46D1017,001,46DL9003,195560,401450,1579,27-01-1995,27-01-1995,28-07-2007,1574,-5,1273,1173
B46D1016_1,190260.0,405680.0,10.56,epsg:28992,B46D1016,001,46DL9001,190260,405680,1450,16-04-1993,16-04-1993,14-02-2008,1496,46,1081,1031
B46D1085_1,190144.0,406623.0,10.65,epsg:28992,B46D1085,001,,190144,406623,1314,10-01-2011,10-01-2011,13-09-2018,1401,,1165,965
B46D1490_1,194827.0,409021.0,6.98,epsg:28992,B46D1490,001,,194827,409021,1188,10-10-2016,10-10-2016,18-12-2017,1220,26,748,648
B46D0737_2,190935.0,405950.0,7.52,epsg:28992,B46D0737,002,46DP0108,190935,405950,1356,30-03-1989,30-03-1989,14-01-2003,1347,-9,852,652
B46D0736_2,191005.0,406060.0,7.33,epsg:28992,B46D0736,002,46DP0107,191005,406060,1342,16-04-1985,30-03-1989,28-01-2003,1329,-13,833,633
B46D1039_2,190933.0,406651.0,6.81,epsg:28992,B46D1039,002,,190933,406651,1304,04-01-2011,04-01-2011,01-02-2011,1395,91,781,581
B46D1029_1,198275.0,404210.0,10.86,epsg:28992,B46D1029,001,46DP7013,198275,404210,1297,27-09-1990,27-09-1990,01-08-2001,1301,4,1111,1061
B46D1028_1,198060.0,403880.0,10.63,epsg:28992,B46D1028,001,46DP7012,198060,403880,1212,27-09-1990,27-09-1990,01-08-2001,1229,17,1088,1038
B46D1481_2,191859.0,404275.0,11.14,epsg:28992,B46D1481,002,,191859,404275,1480,01-01-2007,01-01-2007,13-09-2018,1544,64,1164,1064
B46D1534_1,193368.0,408061.0,,epsg:28992,B46D1534,001,,193368,408061,1388,03-07-2012,03-07-2012,05-09-2016,1383,-5,,
B46D1535_1,193697.0,406614.0,,epsg:28992,B46D1535,001,,193697,406614,1293,03-07-2012,03-07-2012,05-09-2016,1288,-5,,
B46C0509_1,188528.0,406561.0,10.91,epsg:28992,B46C0509,001,,188528,406561,1371,27-07-2015,27-07-2015,07-12-2020,1424,52,1141,1041
B46D0802_1,193496.0,400446.0,14.32,epsg:28992,B46D0802,001,46DP0043,193496,400446,1967,07-01-2011,07-01-2011,14-09-2018,2064,97,1482,1382
B46D0803_1,194150.0,400635.0,13.23,epsg:28992,B46D0803,001,46DP0047,194150,400635,1922,25-10-1994,25-10-1994,14-01-2003,1922,0,1373,1273
B46D0998_1,193610.0,402950.0,11.87,epsg:28992,B46D0998,001,46DL0035,193610,402950,1537,24-05-1991,24-05-1991,16-11-1994,1537,0,1237,1137
B46D0999_1,193635.0,402965.0,13.25,epsg:28992,B46D0999,001,46DL0035,193635,402965,1522,07-01-2011,07-01-2011,14-09-2018,1607,85,1375,1275
B46D0354_2,191891.0,408012.0,2.98,epsg:28992,B46D0354,002,46DP0354,191891,408012,1290,18-01-2011,18-01-2011,27-02-2013,1365,78,348,248
