,x,y,z,projection,Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0824_1,191518.0,406252.0,11.21,epsg:28992,B46D0824,001,46DP0090,191518,406252,1338,10-01-2011,10-01-2011,13-09-2018,1421,83,1171,1071
B46D0834_2,191410.0,406405.0,7.92,epsg:28992,B46D0834,002,46DP0105,191410,406405,1319,21-03-1989,21-03-1989,28-01-2003,1313,-6,892,692
B46D0362_1,190888.0,405883.0,10.35,epsg:28992,B46D0362,001,46DP0362,190888,405883,1371,17-07-2013,17-07-2013,13-09-2018,1456,85,1085,985
B46D0981_1,195700.0,405340.0,10.34,epsg:28992,B46D0981,001,46DL0018,195700,405340,1216,08-12-1952,28-04-1977,17-02-1989,1209,-7,1059,1009
B46D0980_1,193560.0,405080.0,11.99,epsg:28992,B46D0980,001,46DL0017,193560,405080,1373,08-12-1952,01-12-1988,28-08-2000,1364,-9,1224,1174
B46D0829_1,195195.0,401265.0,8.2,epsg:28992,B46D0829,001,46DP0100,195195,401265,1621,28-05-1984,28-05-1984,14-07-1992,1641,20,870,770
B46D1485_1,193584.0,405094.0,12.54,epsg:28992,B46D1485,001,46DL0017,193584,405094,1404,08-01-2018,08-01-2018,19-12-2018,1458,58,1304,1204
B46D1003_1,192742.0,400655.0,15.89,epsg:28992,B46D1003,001,46DL0039,192742,400655,1953,07-01-2011,07-01-2011,14-09-2018,2042,89,1639,1539
B46D1002_1,193946.0,401218.0,14.15,epsg:28992,B46D1002,001,46DL0038,193946,401218,1883,03-01-2011,03-01-2011,14-09-2018,1978,85,1465,1365
B46C0259_1,189554.0,405020.0,13.6,epsg:28992,B46C0259,001,,189554,405020,1582,10-01-2011,10-01-2011,13-09-2018,1666,,1460,1260
B46D0350_1,190622.0,408402.0,8.71,epsg:28992,B46D0350,001,46DP0350,190622,408402,1243,14-01-2011,14-01-2011,13-09-2018,1240,-3,921,821
B46D0816_1,190799.0,406707.0,10.96,epsg:28992,B46D0816,001,46DP0079,190799,406707,1305,04-01-2011,04-01-2011,06-03-2012,1395,90,1146,1046
B46D0817_1,190555.0,406900.0,10.83,epsg:28992,B46D0817,001,46DP0080,190555,406900,1292,28-03-1989,28-03-1989,14-01-2003,1284,-8,1133,1033
B46D0326_1,190212.0,403931.0,12.5,epsg:28992,B46D0326,001,46DP0326,190212,403931,1705,04-01-2011,04-01-2011,13-09-2018,1775,70,1300,1200
B46D0327_1,190480.0,404488.0,10.91,epsg:28992,B46D0327,001,46DP0327,190480,404488,1540,19-05-2004,19-05-2004,13-09-2018,1616,76,1141,1041
B46D0733_1,193136.0,400207.0,13.26,epsg:28992,B46D0733,001,46DP0063,193136,400207,2098,05-01-2011,05-01-2011,14-09-2018,2186,88,1376,1276
B46D0732_1,195120.0,401235.0,8.2,epsg:28992,B46D0732,001,46DP0062,195120,401235,1667,28-08-1973,13-01-1984,28-05-1984,1640,-27,870,770
B46C0252_1,189336.0,406838.0,10.48,epsg:28992,B46C0252,001,,189336,406838,1320,17-02-2012,17-02-2012,13-09-2018,1402,74,1098,998
B46D0795_1,190900.0,405880.0,5.75,epsg:28992,B46D0795,001,46DP0016,190900,405880,1350,28-09-1957,13-08-1960,28-07-1968,1328,-22,650,500
B46D0794_1,190570.0,405610.0,0.71,epsg:28992,B46D0794,001,46DP0015,190570,405610,1421,15-01-1957,15-01-1957,28-09-1968,1455,34,121,21
B46D1008_1,195660.0,400267.0,13.92,epsg:28992,B46D1008,001,46DL0051,195660,400267,1742,28-03-1960,28-03-1960,28-03-1992,1742,0,1442,1342
B46D0729_2,193448.0,401196.0,10.65,epsg:28992,B46D0729,002,46DP0053,193448,401196,1892,28-08-1973,28-08-1973,28-07-1978,1875,-17,1115,1015
B46D0326_3,190212.0,403931.0,-4.57,epsg:28992,B46D0326,003,46DP0326,190212,403931,1705,19-05-2004,19-05-2004,01-02-2011,1776,71,-407,-507
B46D0327_3,190480.0,404488.0,-1.26,epsg:28992,B46D0327,003,46DP0327,190480,404488,1540,22-10-2001,22-10-2001,06-03-2012,1616,76,-76,-176
B46D0822_1,190650.0,406065.0,12.01,epsg:28992,B46D0822,001,46DP0088,190650,406065,1402,22-03-1989,22-03-1989,28-01-2003,1400,-2,1251,1151
B46D0823_1,191900.0,405995.0,11.41,epsg:28992,B46D0823,001,46DP0089,191900,405995,1355,15-09-1980,15-09-1980,14-09-1984,1340,-15,1191,1091
B46D0832_2,191476.0,406758.0,7.109999999999999,epsg:28992,B46D0832,002,46DP0103,191476,406758,1317,07-01-2011,07-01-2011,01-02-2011,1406,89,811,611
B46D0833_2,191510.0,406540.0,8.76,epsg:28992,B46D0833,002,46DP0104,191510,406540,1342,21-03-1989,21-03-1989,11-04-2013,1332,-10,976,776
B46C0191_1,189351.0,404578.0,13.75,epsg:28992,B46C0191,001,46CL0023,189351,404578,1741,14-09-1969,27-05-1999,29-10-2004,1735,-6,1400,1350
B46D1037_1,192008.0,407454.0,10.53,epsg:28992,B46D1037,001,,192008,407454,1316,18-01-2011,18-01-2011,04-07-2018,1392,76,1153,953
B46C0190_1,189380.0,404570.0,,epsg:28992,B46C0190,001,46CL0023,189380,404570,,,14-05-1965,14-09-1969,,12,,
B46D1036_1,190440.0,407792.0,9.73,epsg:28992,B46D1036,001,,190440,407792,1292,14-01-2011,14-01-2011,22-07-2014,1372,80,1073,873
B46D0364_1,191624.0,405046.0,10.8,epsg:28992,B46D0364,001,46DP0364,191624,405046,1445,17-01-2011,17-01-2011,14-02-2011,1527,82,1130,1030
B46D0739_1,194264.0,407811.0,8.34,epsg:28992,B46D0739,001,46DP0114,194264,407811,1264,01-01-1991,01-01-1991,28-04-2003,1248,-16,934,734
B46D0986_1,191730.0,402690.0,16.57,epsg:28992,B46D0986,001,46DL0020,191730,402690,,,14-12-1970,14-10-1983,1758,0,1706,1608
B46D0987_1,191800.0,402730.0,14.61,epsg:28992,B46D0987,001,46DL0020,191800,402730,1768,08-01-2018,08-01-2018,28-11-2006,1776,8,1486,1436
B46D1014_1,196645.0,404797.0,9.76,epsg:28992,B46D1014,001,46DL0115,196645,404797,1376,19-11-1991,19-11-1991,14-04-2003,1368,-8,1076,876
B46D0788_1,192700.0,406320.0,4.41,epsg:28992,B46D0788,001,46DB0009,192700,406320,1408,14-06-1950,14-10-1960,28-08-1970,1416,8,791,91
B46D1540_1,198438.0,401390.0,,epsg:28992,B46D1540,001,,198438,401390,1502,03-07-2012,03-07-2012,14-06-2016,1497,-5,,
B46D0789_1,193780.0,406780.0,6.539999999999999,epsg:28992,B46D0789,001,46DB0010,193780,406780,1360,14-06-1950,26-05-1992,28-12-2000,1344,-16,954,354
B46D1541_1,195908.0,403759.0,,epsg:28992,B46D1541,001,,195908,403759,1440,03-07-2012,03-07-2012,14-06-2016,1435,-5,,
B52B0408_1,197670.0,399410.0,13.22,epsg:28992,B52B0408,001,52BL0008,197670,399410,1590,14-10-1963,14-10-1963,14-09-1975,1597,7,1347,1297
B46D0734_2,191970.0,405945.0,10.52,epsg:28992,B46D0734,002,46DP0099,191970,405945,1363,17-09-1984,17-09-1984,28-01-1992,1354,-9,1152,952
B46D0735_2,191126.0,406333.0,7.08,epsg:28992,B46D0735,002,46DP0106,191126,406333,1307,10-01-2011,10-01-2011,01-02-2011,1392,85,808,608
B46D1493_1,197745.0,402577.0,8.84,epsg:28992,B46D1493,001,,197745,402577,1222,28-02-2008,28-02-2008,28-03-2018,1274,52,934,834
B46D1492_1,197500.0,404737.0,8.5,epsg:28992,B46D1492,001,,197500,404737,1214,31-05-2017,31-05-2017,28-03-2018,1239,25,900,800
B46D0061_1,193120.0,406540.0,2.415,epsg:28992,B46D0061,001,46DB0061,193120,406540,1479,01-06-1945,14-10-1960,28-12-2000,1480,1,654,-171
B46D0060_1,195000.0,405440.0,3.3600000000000003,epsg:28992,B46D0060,001,46DB0060,195000,405440,1461,03-08-1944,14-10-1960,28-11-1969,1461,0,761,-89
B46C0017_1,189250.0,404330.0,3.63,epsg:28992,B46C0017,001,46CB0017,189250,404330,1742,01-01-1943,15-10-1962,28-02-1997,1709,-33,1062,-336
B46D1062_1,194485.0,401546.0,11.56,epsg:28992,B46D1062,001,,194485,401546,1724,14-01-1980,14-01-1980,14-09-2018,1824,100,1256,1056
B46D1537_1,197313.0,402218.0,,epsg:28992,B46D1537,001,,197313,402218,1402,03-07-2012,03-07-2012,04-09-2016,1397,-5,,
B46D1536_1,192817.0,405844.0,,epsg:28992,B46D1536,001,,192817,405844,1379,03-07-2012,03-07-2012,05-09-2016,1374,-5,,
B46D0356_2,191490.0,407640.0,3.44,epsg:28992,B46D0356,002,46DP0356,191490,407640,1335,13-08-1976,13-08-1976,28-09-2009,1330,-5,394,294
B46D0357_2,190882.0,407243.0,4.66,epsg:28992,B46D0357,002,46DP0357,190882,407243,1307,13-08-1976,10-01-2011,27-02-2013,1392,85,516,416
B46D0801_1,193940.0,400530.0,12.87,epsg:28992,B46D0801,001,46DP0042,193940,400530,1904,25-10-1994,25-10-1994,14-01-2003,1902,-2,1337,1237
B46D0800_1,193723.0,400666.0,11.33,epsg:28992,B46D0800,001,46DP0041,193723,400666,1981,04-01-2011,04-01-2011,14-09-2018,2064,83,1183,1083
B46C0156_1,189460.0,407740.0,1.8099999999999998,epsg:28992,B46C0156,001,46CB0016,189460,407740,1298,04-09-1996,04-09-1996,21-12-2016,1252,-46,431,-69
B46D0362_2,190888.0,405883.0,3.8099999999999996,epsg:28992,B46D0362,002,46DP0362,190888,405883,1371,17-07-2013,17-07-2013,01-02-2011,1456,85,431,331
B46D0834_1,191410.0,406405.0,11.05,epsg:28992,B46D0834,001,46DP0105,191410,406405,1319,21-03-1989,21-03-1989,28-01-2003,1314,-5,1155,1055
B46D1056_1,193905.0,400173.0,16.28,epsg:28992,B46D1056,001,,193905,400173,1930,24-02-2012,24-02-2012,14-09-2018,2017,87,1778,1478
B46D1499_1,197382.0,400790.0,11.51,epsg:28992,B46D1499,001,,197382,400790,1453,07-10-2016,07-10-2016,12-12-2017,1446,-7,1201,1101
B46D1498_1,198054.0,400994.0,11.51,epsg:28992,B46D1498,001,,198054,400994,1404,31-05-2017,31-05-2017,14-12-2017,1442,38,1201,1101
B46D1503_1,196786.0,402105.0,9.7,epsg:28992,B46D1503,001,,196786,402105,1372,31-05-2017,31-05-2017,13-12-2017,1421,49,1020,920
B46D1502_1,198379.0,403148.0,8.79,epsg:28992,B46D1502,001,,198379,403148,1292,03-10-2016,03-10-2016,28-03-2018,1333,41,929,829
B52B0403_1,193340.0,399680.0,,epsg:28992,B52B0403,001,52BL0002,193340,399680,,,14-10-1977,27-02-1980,,-10,,
B46D1184_1,191850.0,401020.0,13.51,epsg:28992,B46D1184,001,,191850,401020,1930,01-05-2006,01-05-2006,14-09-2018,2011,81,1401,1301
B46D1185_1,194010.0,401797.0,12.6,epsg:28992,B46D1185,001,,194010,401797,1729,27-04-2006,27-04-2006,14-09-2018,1807,77,1310,1210
B46C0245_1,188815.0,404515.0,0.77,epsg:28992,B46C0245,001,46CP7037,188815,404515,1602,20-04-1994,20-04-1994,30-04-2001,1591,-11,127,27
B46D0055_1,190340.0,407850.0,1.7999999999999998,epsg:28992,B46D0055,001,46DB0055,190340,407850,1290,01-01-1951,01-01-1951,28-08-1980,1275,-15,480,-120
B46D0991_1,196320.0,403960.0,,epsg:28992,B46D0991,001,46DL0022,196320,403960,,,14-10-1973,28-11-1979,,-2,,
B46D0990_1,196310.0,403940.0,,epsg:28992,B46D0990,001,46DL0022,196310,403940,1249,15-10-1952,13-11-1964,18-01-1970,1242,-7,,
B46C0500_1,188521.0,406423.0,11.51,epsg:28992,B46C0500,001,,188521,406423,1412,27-07-2015,27-07-2015,07-12-2020,1463,51,1201,1101
B46D0825_2,192556.0,406313.0,4.96,epsg:28992,B46D0825,002,46DP0091,192556,406313,1388,12-09-2017,12-09-2017,28-01-2003,1454,79,596,396
B46D0824_2,191518.0,406252.0,6.76,epsg:28992,B46D0824,002,46DP0090,191518,406252,1338,10-01-2011,10-01-2011,01-02-2011,1421,83,726,626
