DateTime,Volume
1970-07-31,118716.0
1970-08-31,130464.0
1970-09-30,115470.0
1970-10-31,106535.0
1970-11-30,78712.0
1970-12-31,92037.0
1971-01-31,151368.0
1971-02-28,153149.0
1971-03-31,160756.0
1971-04-30,156242.0
1971-05-31,158900.0
1971-06-30,157164.0
1971-07-31,172550.0
1971-08-31,170040.0
1971-09-30,152933.0
1971-10-31,134093.0
1971-11-30,153004.0
1971-12-31,150395.0
1972-01-31,156966.0
1972-02-29,155183.0
1972-03-31,158692.0
1972-04-30,130451.0
1972-05-31,154050.0
1972-06-30,146938.0
1972-07-31,153630.0
1972-08-31,153133.0
1972-09-30,144253.0
1972-10-31,150304.0
1972-11-30,133039.0
1972-12-31,110402.0
1973-01-31,111109.0
1973-02-28,102490.0
1973-03-31,123252.0
1973-04-30,141381.0
1973-05-31,132729.0
1973-06-30,155222.0
1973-07-31,151090.0
1973-08-31,156697.0
1973-09-30,139909.0
1973-10-31,124790.0
1973-11-30,129836.0
1973-12-31,142666.0
1974-01-31,155782.0
1974-02-28,140716.0
1974-03-31,153999.0
1974-04-30,158824.0
1974-05-31,167753.0
1974-06-30,156771.0
1974-07-31,139927.0
1974-08-31,157162.0
1974-09-30,117841.0
1974-10-31,134452.0
1974-11-30,144221.0
1974-12-31,131944.0
1975-01-31,132333.0
1975-02-28,112819.0
1975-03-31,137180.0
1975-04-30,157188.0
1975-05-31,145137.0
1975-06-30,146191.0
1975-07-31,145287.0
1975-08-31,149960.0
1975-09-30,134426.0
1975-10-31,135401.0
1975-11-30,131268.0
1975-12-31,119609.0
1976-01-31,119360.0
1976-02-29,120041.0
1976-03-31,135298.0
1976-04-30,146454.0
1976-05-31,150683.0
1976-06-30,166917.0
1976-07-31,158124.0
1976-08-31,164704.0
1976-09-30,143254.0
1976-10-31,119561.0
1976-11-30,91171.0
1976-12-31,104222.0
1977-01-31,113755.0
1977-02-28,109632.0
1977-03-31,135445.0
1977-04-30,118675.0
1977-05-31,113400.0
1977-06-30,142928.0
1977-07-31,152169.0
1977-08-31,163102.0
1977-09-30,161376.0
1977-10-31,161139.0
1977-11-30,157003.0
1977-12-31,156735.0
1978-01-31,134554.0
1978-02-28,125075.0
1978-03-31,119490.0
1978-04-30,124711.0
1978-05-31,137488.0
