DateTime,Volume
1965-01-31,0.0
1965-02-28,0.0
1965-03-31,0.0
1965-04-30,0.0
1965-05-31,0.0
1965-06-30,0.0
1965-07-31,27260.0
1965-08-31,24670.0
1965-09-30,24430.0
1965-10-31,31740.0
1965-11-30,33266.0
1965-12-31,39684.0
1966-01-31,30180.0
1966-02-28,36890.0
1966-03-31,68340.0
1966-04-30,77060.0
1966-05-31,87570.0
1966-06-30,106021.0
1966-07-31,79980.0
1966-08-31,93158.0
1966-09-30,93642.0
1966-10-31,103410.0
1966-11-30,109089.0
1966-12-31,135175.0
1967-01-31,143062.0
1967-02-28,123085.0
1967-03-31,131521.0
1967-04-30,130530.0
1967-05-31,136033.0
1967-06-30,140880.0
1967-07-31,145625.0
1967-08-31,135239.0
1967-09-30,111655.0
1967-10-31,110812.0
1967-11-30,104110.0
1967-12-31,105197.0
1968-01-31,115955.0
1968-02-29,121801.0
1968-03-31,106330.0
1968-04-30,142052.0
1968-05-31,118061.0
1968-06-30,115685.0
1968-07-31,120578.0
1968-08-31,137233.0
1968-09-30,113633.0
1968-10-31,144443.0
1968-11-30,144699.99999999962
1968-12-31,136719.99999999956
1969-01-31,152165.99999999953
1969-02-28,128050.0000000005
1969-03-31,142145.0000000001
1969-04-30,147118.9999999998
1969-05-31,154502.00000000017
1969-06-30,155900.00000000003
1969-07-31,166169.99999999965
1969-08-31,160430.99999999994
1969-09-30,156140.0
1969-10-31,156029.99999999988
1969-11-30,82449.99999999997
1969-12-31,96610.0
1970-01-31,167759.99999999988
1970-02-28,161430.00000000006
1970-03-31,193599.99999999956
1970-04-30,190590.0000000004
1970-05-31,190260.00000000015
1970-06-30,206070.00000000015
1970-07-31,180099.99999999962
1970-08-31,186940.00000000044
1970-09-30,177019.99999999988
1970-10-31,179299.9999999998
1970-11-30,176779.9999999999
1970-12-31,174340.0
1971-01-31,132340.00000000032
1971-02-28,107300.00000000047
1971-03-31,153200.00000000044
1971-04-30,172890.0
1971-05-31,171599.99999999994
1971-06-30,159640.00000000035
1971-07-31,177499.99999999974
1971-08-31,172099.99999999956
1971-09-30,135299.9999999996
1971-10-31,76350.00000000001
1971-11-30,35959.999999999985
1971-12-31,39529.999999999985
1972-01-31,30700.000000000025
1972-02-29,29149.999999999978
1972-03-31,91800.0
1972-04-30,132159.99999999962
1972-05-31,183800.00000000044
1972-06-30,164440.0000000002
1972-07-31,188799.99999999974
1972-08-31,191200.00000000012
1972-09-30,186000.0000000004
1972-10-31,195200.00000000017
1972-11-30,170299.9999999995
1972-12-31,181199.9999999996
1973-01-31,182400.0000000003
1973-02-28,166439.9999999997
1973-03-31,183900.00000000015
1973-04-30,178599.99999999974
1973-05-31,185890.00000000032
1973-06-30,197449.99999999997
1973-07-31,200699.99999999994
1973-08-31,210699.99999999997
1973-09-30,189800.00000000003
1973-10-31,181600.0000000001
1973-11-30,153300.00000000006
1973-12-31,151499.9999999999
1974-01-31,150600.00000000006
1974-02-28,142099.99999999994
1974-03-31,161800.0
1974-04-30,184950.00000000006
1974-05-31,197199.99999999994
1974-06-30,195100.0
1974-07-31,184199.99999999985
1974-08-31,195499.99999999994
1974-09-30,177030.00000000003
1974-10-31,179700.00000000003
1974-11-30,178999.99999999994
1974-12-31,190600.00000000003
1975-01-31,184599.99999999994
1975-02-28,169700.00000000003
1975-03-31,193200.0
1975-04-30,193300.00000000003
1975-05-31,206099.99999999994
1975-06-30,211900.00000000012
1975-07-31,212979.9999999999
1975-08-31,231000.00000000003
1975-09-30,201999.99999999994
1975-10-31,203199.99999999997
1975-11-30,191499.99999999997
1975-12-31,206399.99999999994
1976-01-31,209300.00000000006
1976-02-29,203399.99999999997
1976-03-31,213999.99999999988
1976-04-30,214800.00000000006
1976-05-31,229400.0
1976-06-30,243499.99999999994
1976-07-31,250630.0000000001
1976-08-31,248360.00000000006
1976-09-30,200300.00000000003
1976-10-31,203240.0
1976-11-30,196099.99999999997
1976-12-31,201799.99999999994
1977-01-31,190500.0
1977-02-28,174999.99999999988
1977-03-31,190306.00000000003
1977-04-30,197500.00000000006
1977-05-31,206600.00000000003
1977-06-30,207400.00000000003
1977-07-31,214771.00000000006
1977-08-31,218852.00000000006
1977-09-30,205927.0
1977-10-31,202332.99999999997
1977-11-30,196664.99999999997
1977-12-31,204231.99999999994
1978-01-31,212220.99999999988
1978-02-28,171672.00000000003
1978-03-31,181513.99999999997
1978-04-30,175681.00000000003
1978-05-31,180000.00000000003
1978-06-30,178147.00000000003
1978-07-31,171799.0000000001
1978-08-31,150834.99999999994
1978-09-30,139399.99999999994
1978-10-31,151286.00000000003
1978-11-30,163999.99999999994
1978-12-31,168000.0
1979-01-31,183000.0
1979-02-28,168500.00000000012
1979-03-31,203678.0
1979-04-30,186462.9999999999
1979-05-31,183718.99999999988
1979-06-30,181823.00000000012
1979-07-31,196780.9999999999
1979-08-31,188999.99999999994
1979-09-30,200592.0
1979-10-31,222200.0
1979-11-30,203399.99999999997
1979-12-31,191999.99999999994
1980-01-31,231000.00000000003
1980-02-29,270499.9999999999
1980-03-31,218999.99999999994
1980-04-30,205000.00000000006
1980-05-31,265999.99999999994
1980-06-30,236500.00000000017
1980-07-31,193714.00000000006
1980-08-31,216062.9999999999
1980-09-30,203999.99999999988
1980-10-31,197999.99999999994
1980-11-30,201000.0000000001
1980-12-31,197999.99999999994
1981-01-31,198999.9999999999
1981-02-28,192500.00000000012
1981-03-31,207999.99999999994
1981-04-30,211099.99999999988
1981-05-31,221800.00000000006
1981-06-30,193999.99999999988
1981-07-31,184439.99999999994
