Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,14-01-1988,tot:,15-10-2009,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D1035,001,,190105,405945,1385,13-09-1984,13-09-1984,28-01-2010,1373,-12,1225,1025


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46D1035,001,30-12-1991,72,84,1301,,,,,,
B46D1035,001,14-01-1992,73,85,1300,,,,,,
B46D1035,001,28-01-1992,86,98,1287,,,,,,
B46D1035,001,14-02-1992,72,84,1301,,,,,,
B46D1035,001,28-02-1992,79,91,1294,,,,,,
B46D1035,001,13-03-1992,60,72,1313,,,,,,
B46D1035,001,27-03-1992,57,69,1316,,,,,,
B46D1035,001,14-04-1992,73,85,1300,,,,,,
B46D1035,001,28-04-1992,62,74,1311,,,,,,
B46D1035,001,14-05-1992,72,84,1301,,,,,,
B46D1035,001,27-05-1992,99,111,1274,,,,,,
B46D1035,001,15-06-1992,92,104,1281,,,,,,
B46D1035,001,29-06-1992,125,137,1248,,,,,,
B46D1035,001,14-07-1992,141,153,1232,,,,,,
B46D1035,001,28-07-1992,149,161,1224,,,,,,
B46D1035,001,14-08-1992,157,169,1216,,,,,,
B46D1035,001,28-08-1992,144,156,1229,,,,,,
B46D1035,001,14-09-1992,102,114,1271,,,,,,
B46D1035,001,28-09-1992,102,114,1271,,,,,,
B46D1035,001,14-10-1992,99,111,1274,,,,,,
B46D1035,001,28-10-1992,92,104,1281,,,,,,
B46D1035,001,13-11-1992,80,92,1293,,,,,,
B46D1035,001,27-11-1992,55,67,1318,,,,,,
B46D1035,001,14-12-1992,56,68,1317,,,,,,
B46D1035,001,28-12-1992,72,84,1301,,,,,,
B46D1035,001,14-01-1993,54,66,1319,,,,,,
B46D1035,001,28-01-1993,61,73,1312,,,,,,
B46D1035,001,15-02-1993,95,107,1278,,,,,,
B46D1035,001,01-03-1993,73,85,1300,,,,,,
B46D1035,001,15-03-1993,83,95,1290,,,,,,
B46D1035,001,29-03-1993,82,94,1291,,,,,,
B46D1035,001,14-04-1993,80,92,1293,,,,,,
B46D1035,001,28-04-1993,81,93,1292,,,,,,
B46D1035,001,14-05-1993,69,81,1304,,,,,,
B46D1035,001,28-05-1993,78,90,1295,,,,,,
B46D1035,001,14-06-1993,108,120,1265,,,,,,
B46D1035,001,28-06-1993,115,127,1258,,,,,,
B46D1035,001,14-07-1993,130,142,1243,,,,,,
B46D1035,001,28-07-1993,103,115,1270,,,,,,
B46D1035,001,13-08-1993,107,119,1266,,,,,,
B46D1035,001,27-08-1993,113,125,1260,,,,,,
B46D1035,001,14-09-1993,105,117,1268,,,,,,
B46D1035,001,28-09-1993,58,70,1315,,,,,,
B46D1035,001,14-10-1993,57,69,1316,,,,,,
B46D1035,001,28-10-1993,80,92,1293,,,,,,
B46D1035,001,15-11-1993,44,56,1329,,,,,,
B46D1035,001,29-11-1993,87,99,1286,,,,,,
B46D1035,001,14-12-1993,48,60,1325,,,,,,
B46D1035,001,28-12-1993,47,59,1326,,,,,,
B46D1035,001,14-01-1994,48,60,1325,,,,,,
B46D1035,001,28-01-1994,39,51,1334,,,,,,
B46D1035,001,11-02-1994,69,81,1304,,,,,,
B46D1035,001,28-02-1994,66,78,1307,,,,,,
B46D1035,001,14-03-1994,72,84,1301,,,,,,
B46D1035,001,28-03-1994,56,68,1317,,,,,,
B46D1035,001,14-04-1994,65,77,1308,,,,,,
B46D1035,001,28-04-1994,78,90,1295,,,,,,
B46D1035,001,16-05-1994,75,87,1298,,,,,,
B46D1035,001,27-05-1994,78,90,1295,,,,,,
B46D1035,001,14-06-1994,68,80,1305,,,,,,
B46D1035,001,28-06-1994,90,102,1283,,,,,,
B46D1035,001,13-07-1994,120,132,1253,,,,,,
B46D1035,001,28-07-1994,134,146,1239,,,,,,
B46D1035,001,15-08-1994,155,167,1218,,,,,,
B46D1035,001,29-08-1994,151,163,1222,,,,,,
B46D1035,001,14-09-1994,148,160,1225,,,,,,
B46D1035,001,28-09-1994,128,140,1245,,,,,,
B46D1035,001,14-10-1994,112,124,1261,,,,,,
B46D1035,001,28-10-1994,105,117,1268,,,,,,
B46D1035,001,14-11-1994,75,87,1298,,,,,,
B46D1035,001,28-11-1994,78,90,1295,,,,,,
B46D1035,001,14-12-1994,72,84,1301,,,,,,
B46D1035,001,28-12-1994,52,64,1321,,,,,,
B46D1035,001,13-01-1995,61,73,1312,,,,,,
B46D1035,001,27-01-1995,43,55,1330,,,,,,
B46D1035,001,14-02-1995,66,78,1307,,,,,,
B46D1035,001,02-03-1995,68,80,1305,,,,,,
B46D1035,001,15-03-1995,68,80,1305,,,,,,
B46D1035,001,29-03-1995,58,70,1315,,,,,,
B46D1035,001,14-04-1995,79,91,1294,,,,,,
B46D1035,001,28-04-1995,82,94,1291,,,,,,
B46D1035,001,15-05-1995,88,100,1285,,,,,,
B46D1035,001,29-05-1995,60,72,1313,,,,,,
B46D1035,001,14-06-1995,62,74,1311,,,,,,
B46D1035,001,28-06-1995,90,102,1283,,,,,,
B46D1035,001,14-07-1995,128,140,1245,,,,,,
B46D1035,001,28-07-1995,144,156,1229,,,,,,
B46D1035,001,14-08-1995,169,181,1204,,,,,,
B46D1035,001,28-08-1995,171,183,1202,,,,,,
B46D1035,001,14-09-1995,165,177,1208,,,,,,
B46D1035,001,28-09-1995,163,175,1210,,,,,,
B46D1035,001,13-10-1995,147,159,1226,,,,,,
B46D1035,001,27-10-1995,147,159,1226,,,,,,
B46D1035,001,14-11-1995,148,160,1225,,,,,,
B46D1035,001,28-11-1995,145,157,1228,,,,,,
B46D1035,001,14-12-1995,145,157,1228,,,,,,
B46D1035,001,28-12-1995,135,147,1238,,,,,,
B46D1035,001,15-01-1996,129,141,1244,,,,,,
B46D1035,001,29-01-1996,130,142,1243,,,,,,
B46D1035,001,14-02-1996,133,145,1240,,,,,,
B46D1035,001,28-02-1996,114,126,1259,,,,,,
B46D1035,001,13-03-1996,105,117,1268,,,,,,
B46D1035,001,27-03-1996,104,116,1269,,,,,,
B46D1035,001,15-04-1996,108,120,1265,,,,,,
B46D1035,001,29-04-1996,118,130,1255,,,,,,
B46D1035,001,14-05-1996,135,147,1238,,,,,,
B46D1035,001,28-05-1996,129,141,1244,,,,,,
B46D1035,001,14-06-1996,149,161,1224,,,,,,
B46D1035,001,28-06-1996,162,174,1211,,,,,,
B46D1035,001,15-07-1996,168,180,1205,,,,,,
B46D1035,001,29-07-1996,184,196,1189,,,,,,
B46D1035,001,14-08-1996,188,200,1185,,,,,,
B46D1035,001,28-08-1996,180,192,1193,,,,,,
B46D1035,001,13-09-1996,157,169,1216,,,,,,
B46D1035,001,27-09-1996,,,,N,,,,,
B46D1035,001,14-10-1996,,,,N,,,,,
B46D1035,001,28-10-1996,,,,N,,,,,
B46D1035,001,14-11-1996,140,152,1233,,,,,,
B46D1035,001,28-11-1996,84,96,1289,,,,,,
B46D1035,001,13-12-1996,76,88,1297,,,,,,
B46D1035,001,24-12-1996,75,87,1298,,,,,,
B46D1035,001,14-01-1997,99,111,1274,,,,,,
B46D1035,001,28-01-1997,96,108,1277,,,,,,
B46D1035,001,14-02-1997,51,63,1322,,,,,,
B46D1035,001,28-02-1997,62,74,1311,,,,,,
B46D1035,001,14-03-1997,74,86,1299,,,,,,
B46D1035,001,28-03-1997,70,82,1303,,,,,,
B46D1035,001,14-04-1997,81,93,1292,,,,,,
B46D1035,001,28-04-1997,81,93,1292,,,,,,
B46D1035,001,14-05-1997,76,88,1297,,,,,,
B46D1035,001,28-05-1997,92,104,1281,,,,,,
B46D1035,001,13-06-1997,105,117,1268,,,,,,
B46D1035,001,27-06-1997,96,108,1277,,,,,,
B46D1035,001,14-07-1997,99,111,1274,,,,,,
B46D1035,001,28-07-1997,113,125,1260,,,,,,
B46D1035,001,14-08-1997,143,155,1230,,,,,,
B46D1035,001,28-08-1997,150,162,1223,,,,,,
B46D1035,001,15-09-1997,145,157,1228,,,,,,
B46D1035,001,29-09-1997,156,168,1217,,,,,,
B46D1035,001,14-10-1997,146,158,1227,,,,,,
B46D1035,001,28-10-1997,130,142,1243,,,,,,
B46D1035,001,12-11-1997,121,133,1252,,,,,,
B46D1035,001,28-11-1997,113,125,1260,,,,,,
B46D1035,001,15-12-1997,96,108,1277,,,,,,
B46D1035,001,29-12-1997,87,99,1286,,,,,,
B46D1035,001,14-01-1998,75,87,1298,,,,,,
B46D1035,001,28-01-1998,82,94,1291,,,,,,
B46D1035,001,16-02-1998,84,96,1289,,,,,,
B46D1035,001,27-02-1998,81,93,1292,,,,,,
B46D1035,001,13-03-1998,60,72,1313,,,,,,
B46D1035,001,27-03-1998,71,83,1302,,,,,,
B46D1035,001,14-04-1998,66,78,1307,,,,,,
B46D1035,001,28-04-1998,55,67,1318,,,,,,
B46D1035,001,14-05-1998,83,95,1290,,,,,,
B46D1035,001,28-05-1998,91,103,1282,,,,,,
B46D1035,001,15-06-1998,35,47,1338,,,,,,
B46D1035,001,29-06-1998,77,89,1296,,,,,,
B46D1035,001,15-07-1998,79,91,1294,,,,,,
B46D1035,001,28-07-1998,94,106,1279,,,,,,
B46D1035,001,14-08-1998,124,136,1249,,,,,,
B46D1035,001,28-08-1998,111,123,1262,,,,,,
B46D1035,001,14-09-1998,60,72,1313,,,,,,
B46D1035,001,28-09-1998,81,93,1292,,,,,,
B46D1035,001,14-10-1998,63,75,1310,,,,,,
B46D1035,001,29-10-1998,39,51,1334,,,,,,
B46D1035,001,13-11-1998,55,67,1318,,,,,,
B46D1035,001,27-11-1998,67,79,1306,,,,,,
B46D1035,001,14-12-1998,66,78,1307,,,,,,
B46D1035,001,28-12-1998,66,78,1307,,,,,,
B46D1035,001,14-01-1999,59,71,1314,,,,,,
B46D1035,001,28-01-1999,60,72,1313,,,,,,
B46D1035,001,12-02-1999,79,91,1294,,,,,,
B46D1035,001,01-03-1999,58,70,1315,,,,,,
B46D1035,001,15-03-1999,73,85,1300,,,,,,
B46D1035,001,29-03-1999,77,89,1296,,,,,,
B46D1035,001,14-04-1999,73,85,1300,,,,,,
B46D1035,001,28-04-1999,88,100,1285,,,,,,
B46D1035,001,12-05-1999,81,93,1292,,,,,,
B46D1035,001,28-05-1999,97,109,1276,,,,,,
B46D1035,001,14-06-1999,89,101,1284,,,,,,
B46D1035,001,28-06-1999,107,119,1266,,,,,,
B46D1035,001,14-07-1999,112,124,1261,,,,,,
B46D1035,001,28-07-1999,134,146,1239,,,,,,
B46D1035,001,13-08-1999,121,133,1252,,,,,,
B46D1035,001,31-08-1999,101,113,1272,,,,,,
B46D1035,001,28-09-1999,124,136,1249,,,,,,
B46D1035,001,14-10-1999,111,123,1262,,,,,,
B46D1035,001,28-10-1999,112,124,1261,,,,,,
B46D1035,001,15-11-1999,103,115,1270,,,,,,
B46D1035,001,29-11-1999,94,106,1279,,,,,,
B46D1035,001,14-12-1999,57,69,1316,,,,,,
B46D1035,001,28-12-1999,52,64,1321,,,,,,
B46D1035,001,14-01-2000,78,90,1295,,,,,,
B46D1035,001,28-01-2000,82,94,1291,,,,,,
B46D1035,001,14-02-2000,72,84,1301,,,,,,
B46D1035,001,28-02-2000,56,68,1317,,,,,,
B46D1035,001,14-03-2000,62,74,1311,,,,,,
B46D1035,001,28-03-2000,64,76,1309,,,,,,
B46D1035,001,14-04-2000,81,93,1292,,,,,,
B46D1035,001,28-04-2000,75,87,1298,,,,,,
B46D1035,001,14-05-2000,88,100,1285,,,,,,
B46D1035,001,29-05-2000,72,84,1301,,,,,,
B46D1035,001,13-06-2000,82,94,1291,,,,,,
B46D1035,001,28-06-2000,101,113,1272,,,,,,
B46D1035,001,14-07-2000,99,111,1274,,,,,,
B46D1035,001,28-07-2000,98,110,1275,,,,,,
B46D1035,001,14-08-2000,121,133,1252,,,,,,
B46D1035,001,28-08-2000,124,136,1249,,,,,,
B46D1035,001,14-09-2000,109,121,1264,,,,,,
B46D1035,001,28-09-2000,112,124,1261,,,,,,
B46D1035,001,13-10-2000,103,115,1270,,,,,,
B46D1035,001,27-10-2000,103,115,1270,,,,,,
B46D1035,001,14-11-2000,82,94,1291,,,,,,
B46D1035,001,28-11-2000,64,76,1309,,,,,,
B46D1035,001,14-12-2000,57,69,1316,,,,,,
B46D1035,001,28-12-2000,84,96,1289,,,,,,
B46D1035,001,15-01-2001,80,92,1293,,,,,,
B46D1035,001,29-01-2001,70,82,1303,,,,,,
B46D1035,001,15-02-2001,68,80,1305,,,,,,
B46D1035,001,28-02-2001,75,87,1298,,,,,,
B46D1035,001,14-03-2001,66,78,1307,,,,,,
B46D1035,001,28-03-2001,66,78,1307,,,,,,
B46D1035,001,13-04-2001,74,86,1299,,,,,,
B46D1035,001,27-04-2001,72,84,1301,,,,,,
B46D1035,001,14-05-2001,89,101,1284,,,,,,
B46D1035,001,28-05-2001,103,115,1270,,,,,,
B46D1035,001,14-06-2001,106,118,1267,,,,,,
B46D1035,001,28-06-2001,128,140,1245,,,,,,
B46D1035,001,13-07-2001,138,150,1235,,,,,,
B46D1035,001,30-07-2001,145,157,1228,,,,,,
B46D1035,001,14-08-2001,150,162,1223,,,,,,
B46D1035,001,29-08-2001,154,166,1219,,,,,,
B46D1035,001,13-09-2001,135,147,1238,,,,,,
B46D1035,001,28-09-2001,99,111,1274,,,,,,
B46D1035,001,14-10-2001,99,111,1274,,,,,,
B46D1035,001,29-10-2001,104,116,1269,,,,,,
B46D1035,001,14-11-2001,96,108,1277,,,,,,
B46D1035,001,28-11-2001,78,90,1295,,,,,,
B46D1035,001,13-12-2001,78,90,1295,,,,,,
B46D1035,001,28-12-2001,45,57,1328,,,,,,
B46D1035,001,14-01-2002,77,89,1296,,,,,,
B46D1035,001,28-01-2002,27,39,1346,,,,,,
B46D1035,001,14-02-2002,58,70,1315,,,,,,
B46D1035,001,01-03-2002,29,41,1344,,,,,,
B46D1035,001,14-03-2002,59,71,1314,,,,,,
B46D1035,001,28-03-2002,72,84,1301,,,,,,
B46D1035,001,16-04-2002,78,90,1295,,,,,,
B46D1035,001,26-04-2002,80,92,1293,,,,,,
B46D1035,001,15-05-2002,78,90,1295,,,,,,
B46D1035,001,28-05-2002,93,105,1280,,,,,,
B46D1035,001,14-06-2002,101,113,1272,,,,,,
B46D1035,001,27-06-2002,105,117,1268,,,,,,
B46D1035,001,16-07-2002,99,111,1274,,,,,,
B46D1035,001,26-07-2002,94,106,1279,,,,,,
B46D1035,001,14-08-2002,107,119,1266,,,,,,
B46D1035,001,28-08-2002,73,85,1300,,,,,,
B46D1035,001,16-09-2002,108,120,1265,,,,,,
B46D1035,001,27-09-2002,111,123,1262,,,,,,
B46D1035,001,15-10-2002,112,124,1261,,,,,,
B46D1035,001,29-10-2002,106,118,1267,,,,,,
B46D1035,001,14-11-2002,65,77,1308,,,,,,
B46D1035,001,29-11-2002,80,92,1293,,,,,,
B46D1035,001,16-12-2002,89,101,1284,,,,,,
B46D1035,001,31-12-2002,30,42,1343,,,,,,
B46D1035,001,14-01-2003,69,81,1304,,,,,,
B46D1035,001,28-01-2003,60,72,1313,,,,,,
B46D1035,001,12-02-2003,78,90,1295,,,,,,
B46D1035,001,27-02-2003,86,98,1287,,,,,,
B46D1035,001,13-03-2003,69,81,1304,,,,,,
B46D1035,001,26-03-2003,90,102,1283,,,,,,
B46D1035,001,15-04-2003,97,109,1276,,,,,,
B46D1035,001,28-04-2003,87,99,1286,,,,,,
B46D1035,001,14-05-2003,98,110,1275,,,,,,
B46D1035,001,28-05-2003,74,86,1299,,,,,,
B46D1035,001,18-06-2003,97,109,1276,,,,,,
B46D1035,001,27-06-2003,112,124,1261,,,,,,
B46D1035,001,16-07-2003,123,135,1250,,,,,,
B46D1035,001,29-07-2003,133,145,1240,,,,,,
B46D1035,001,14-08-2003,156,168,1217,,,,,,
B46D1035,001,28-08-2003,165,177,1208,,,,,,
B46D1035,001,15-09-2003,164,176,1209,,,,,,
B46D1035,001,01-10-2003,166,178,1207,,,,,,
B46D1035,001,14-10-2003,140,152,1233,,,,,,
B46D1035,001,27-10-2003,127,139,1246,,,,,,
B46D1035,001,13-11-2003,112,124,1261,,,,,,
B46D1035,001,28-11-2003,101,113,1272,,,,,,
B46D1035,001,12-12-2003,104,116,1269,,,,,,
B46D1035,001,30-12-2003,70,82,1303,,,,,,
B46D1035,001,14-01-2004,55,67,1318,,,,,,
B46D1035,001,28-01-2004,64,76,1309,,,,,,
B46D1035,001,12-02-2004,53,65,1320,,,,,,
B46D1035,001,27-02-2004,64,76,1309,,,,,,
B46D1035,001,16-03-2004,76,88,1297,,,,,,
B46D1035,001,30-03-2004,80,92,1293,,,,,,
B46D1035,001,15-04-2004,72,84,1301,,,,,,
B46D1035,001,27-04-2004,82,94,1291,,,,,,
B46D1035,001,14-05-2004,77,89,1296,,,,,,
B46D1035,001,25-05-2004,90,102,1283,,,,,,
B46D1035,001,16-06-2004,98,110,1275,,,,,,
B46D1035,001,30-06-2004,105,117,1268,,,,,,
B46D1035,001,14-07-2004,97,109,1276,,,,,,
B46D1035,001,27-07-2004,72,84,1301,,,,,,
B46D1035,001,13-08-2004,88,100,1285,,,,,,
B46D1035,001,27-08-2004,76,88,1297,,,,,,
B46D1035,001,14-09-2004,96,108,1277,,,,,,
B46D1035,001,29-09-2004,90,102,1283,,,,,,
B46D1035,001,15-10-2004,102,114,1271,,,,,,
B46D1035,001,28-10-2004,95,107,1278,,,,,,
B46D1035,001,12-11-2004,80,92,1293,,,,,,
B46D1035,001,26-11-2004,67,79,1306,,,,,,
B46D1035,001,14-12-2004,85,97,1288,,,,,,
