Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,15-04-1960,tot:,29-10-1979,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52B0384,001,52BP0006,193875,399755,2054,15-04-1960,15-04-1960,14-11-1979,2032,-22,1302,1202


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52B0384,001,15-04-1960,193,215,1839,,,,,,
B52B0384,001,28-04-1960,198,220,1834,,,,,,
B52B0384,001,28-05-1960,193,215,1839,,,,,,
B52B0384,001,28-06-1960,216,238,1816,,,,,,
B52B0384,001,28-07-1960,223,245,1809,,,,,,
B52B0384,001,28-05-1965,109,131,1923,,,,,,
B52B0384,001,28-07-1965,119,141,1913,,,,,,
B52B0384,001,28-08-1965,118,140,1914,,,,,,
B52B0384,001,29-09-1965,154,176,1878,,,,,,
B52B0384,001,28-10-1965,148,170,1884,,,,,,
B52B0384,001,01-12-1965,74,96,1958,,,,,,
B52B0384,001,30-12-1965,54,76,1978,,,,,,
B52B0384,001,03-02-1966,66,88,1966,,,,,,
B52B0384,001,09-03-1966,56,78,1976,,,,,,
B52B0384,001,05-04-1966,58,80,1974,,,,,,
B52B0384,001,02-05-1966,75,97,1957,,,,,,
B52B0384,001,27-05-1966,102,124,1930,,,,,,
B52B0384,001,28-06-1966,85,107,1947,,,,,,
B52B0384,001,29-07-1966,96,118,1936,,,,,,
B52B0384,001,31-08-1966,141,163,1891,,,,,,
B52B0384,001,28-09-1966,163,185,1869,,,,,,
B52B0384,001,07-11-1966,146,168,1886,,,,,,
B52B0384,001,28-11-1966,92,114,1940,,,,,,
B52B0384,001,28-12-1966,44,66,1988,,,,,,
B52B0384,001,27-01-1967,64,86,1968,,,,,,
